Date,EAFE Standard (Large+Mid Cap),Return Rate,,,
2020-08-13,"6,121.599",0.00075053,,,
2020-08-14,"6,079.640",-0.006854255,,,
2020-08-17,"6,097.696",0.002969913,,,
2020-08-18,"6,107.897",0.001672927,,,
2020-08-19,"6,130.058",0.003628254,,,
2020-08-20,"6,038.405",-0.014951408,,,
2020-08-21,"6,019.390",-0.00314901,,,
2020-08-24,"6,101.966",0.013718334,,,
2020-08-25,"6,102.957",0.000162407,,,
2020-08-26,"6,139.785",0.006034452,,,
2020-08-27,"6,092.509",-0.007699944,,,
2020-08-28,"6,121.028",0.004680994,,,
2020-08-31,"6,119.123",-0.000311222,,,
2020-09-01,"6,096.966",-0.003620944,,,
2020-09-02,"6,129.672",0.005364307,,,
2020-09-03,"6,086.232",-0.007086839,,,
2020-09-04,"5,994.282",-0.01510787,,,
2020-09-07,"6,062.976",0.011459921,,,
2020-09-08,"6,022.080",-0.006745202,,,
2020-09-09,"6,064.617",0.007063506,,,
2020-09-10,"6,081.612",0.00280232,,,
2020-09-11,"6,081.123",-8.04063E-05,,,
2020-09-14,"6,124.836",0.00718831,,,
2020-09-15,"6,138.598",0.002246917,,,
2020-09-16,"6,171.663",0.005386409,,,
2020-09-17,"6,127.036",-0.007230952,,,
2020-09-18,"6,129.101",0.000337031,,,
2020-09-21,"5,953.165",-0.028705025,,,
2020-09-22,"5,935.569",-0.002955739,,,
2020-09-23,"5,948.231",0.002133241,,,
2020-09-24,"5,870.052",-0.013143235,,,
2020-09-25,"5,870.912",0.000146506,,,
2020-09-28,"5,983.381",0.01915699,,,
2020-09-29,"6,000.486",0.002858752,,,
2020-09-30,"5,960.128",-0.006725789,,,
2020-10-01,"5,975.024",0.002499275,,,
2020-10-02,"5,960.880",-0.002367187,,,
2020-10-05,"6,054.341",0.015679061,,,
2020-10-06,"6,067.896",0.002238889,,,
2020-10-07,"6,055.266",-0.002081446,,,
2020-10-08,"6,094.560",0.006489228,,,
2020-10-09,"6,138.413",0.007195433,,,
2020-10-12,"6,168.255",0.004861517,,,
2020-10-13,"6,130.748",-0.00608065,,,
2020-10-14,"6,132.936",0.00035689,,,
2020-10-15,"6,011.030",-0.019877266,,,
2020-10-16,"6,049.271",0.006361805,,,
2020-10-19,"6,084.779",0.005869798,,,
2020-10-20,"6,069.829",-0.00245695,,,
2020-10-21,"6,064.536",-0.000872018,,,
2020-10-22,"6,022.975",-0.006853121,,,
2020-10-23,"6,055.934",0.005472213,,,
2020-10-26,"5,978.646",-0.012762358,,,
2020-10-27,"5,943.436",-0.005889293,,,
2020-10-28,"5,802.396",-0.023730381,,,
2020-10-29,"5,752.731",-0.008559395,,,
2020-10-30,"5,722.147",-0.005316431,,,
2020-11-02,"5,805.271",0.014526715,,,
2020-11-03,"5,943.303",0.023777012,,,
2020-11-04,"6,031.560",0.014849823,,,
2020-11-05,"6,160.623",0.021397947,,,
2020-11-06,"6,186.235",0.004157372,,,
2020-11-09,"6,330.824",0.023372698,,,
2020-11-10,"6,400.927",0.011073282,,,
2020-11-11,"6,453.851",0.008268177,,,
2020-11-12,"6,437.438",-0.002543133,,,
2020-11-13,"6,426.906",-0.001636055,,,
2020-11-16,"6,524.244",0.01514539,,,
2020-11-17,"6,544.799",0.003150557,,,
2020-11-18,"6,562.324",0.002677699,,,
2020-11-19,"6,518.684",-0.006650083,,,
2020-11-20,"6,547.331",0.004394599,,,
2020-11-23,"6,515.341",-0.00488596,,,
2020-11-24,"6,623.027",0.016528068,,,
2020-11-25,"6,645.643",0.003414753,,,
2020-11-26,"6,649.782",0.000622814,,,
2020-11-27,"6,693.653",0.006597359,,,
2020-11-30,"6,609.156",-0.012623451,,,
2020-12-01,"6,674.554",0.009895061,,,
2020-12-02,"6,696.239",0.003248906,,,
2020-12-03,"6,746.544",0.007512426,,,
2020-12-04,"6,762.200",0.002320596,,,
2020-12-07,"6,738.001",-0.003578569,,,
2020-12-08,"6,735.566",-0.000361383,,,
2020-12-09,"6,763.866",0.004201577,,,
2020-12-10,"6,759.322",-0.000671805,,,
2020-12-11,"6,727.624",-0.004689524,,,
2020-12-14,"6,757.791",0.00448405,,,
2020-12-15,"6,770.766",0.001920006,,,
2020-12-16,"6,835.183",0.00951399,,,
2020-12-17,"6,893.679",0.008558074,,,
2020-12-18,"6,862.564",-0.004513555,,,
2020-12-21,"6,742.103",-0.017553352,,,
2020-12-22,"6,736.779",-0.000789665,,,
2020-12-23,"6,804.098",0.009992758,,,
2020-12-24,"6,819.117",0.002207346,,,
2020-12-25,"6,821.046",0.000282881,,,
2020-12-28,"6,870.170",0.007201828,,,
2020-12-29,"6,953.685",0.012156177,,,
2020-12-30,"6,961.396",0.001108908,,,
2020-12-31,"6,916.455",-0.006455745,,,
2021-01-01,"6,916.455",0,,,
2021-01-04,"6,964.897",0.007003877,,,
2021-01-05,"6,968.939",0.000580339,,,
2021-01-06,"7,017.353",0.006947112,,,
2021-01-07,"7,063.195",0.006532663,,,
2021-01-08,"7,135.009",0.010167353,,,
2021-01-11,"7,047.557",-0.012256747,,,
2021-01-12,"7,062.651",0.002141735,,,
2021-01-13,"7,078.086",0.00218544,,,
2021-01-14,"7,116.774",0.005465884,,,
2021-01-15,"7,038.072",-0.011058662,,,
2021-01-18,"7,026.722",-0.001612658,,,
2021-01-19,"7,061.652",0.004971023,,,
2021-01-20,"7,084.833",0.00328266,,,
2021-01-21,"7,119.489",0.004891576,,,
2021-01-22,"7,087.187",-0.004537123,,,
2021-01-25,"7,046.100",-0.005797364,,,
2021-01-26,"7,070.244",0.003426576,,,
2021-01-27,"6,991.602",-0.011122954,,,
2021-01-28,"6,957.434",-0.004887006,,,
2021-01-29,"6,842.768",-0.016481076,,,
2021-02-01,"6,891.875",0.007176482,,,
